tweet,Axial code by 1st coder,Axial code revisited by 1st coder,Axial Code by 2nd Coder,Reliability,Final code
 Gave small donation via PhonePe_ to Pm Modi PMCaresFund to fight COVID19 AAAAAAAA narendramodi,DONATION,DONATION,Donation,1,DONATION
 Everyone agree with our PM view and donating nor matter big or small PhonePe_ offering against the Covid19 To PMCARES FUND AAA,DONATION,DONATION,Donation,1,DONATION
 Urged to all Indians to contribute towards COVID19 relief fund LetAAAs hope for the best Join the PhonePe PhonePe FightAgainstCoronavirus FightAgainstCOVID19 pmcares Vikas11p,DONATION,DONATION,Request,1,DONATION
 Not bored at all Obviously concerned about welbeing of fellow Indians Prayers for everyone welbeing Donations made for Support for Covid hit Families Trying to locate PM-Care for donation Could n t find on Phonepe payment platform,INCONVENIENCE,INCONVENIENCE,Inconvenience,1,INCONVENIENCE
 Very good initiative by PhonePe to help Indian Government in order to raise fund and help fellow citizens of the country to fight against this pandemic-Covid AAAAAAAAAAAAAAAA please help by sharing and donating Even your AAA10 can make a difference AAAAAA DonateKaroNaIndia AAAAAAAA AAA,APPRECIATION,APPRECIATION,Appreciation,1,APPRECIATION
 India letAAAs come together to fight COVID19 through PM CARES fund We want a million Indians to raise their hand for the Billion plus population With that PhonePe_ pledges Rs crores on top Donate via UPI_NPCI on PhonePe now PMCARES DonateKaroNaIndia AAA,DONATION,DONATION,Request,1,DONATION
 As directed by RBI moratorium on month Emi please confirm whether mahindra home finance will go with it or not as due to COVID-19 and days lockdown period as relief measure,REQUEST,REQUEST,Request,1,REQUEST
 PhonePe_ We have made a transaction on March to book a indigo flight ticket through UPI The amount got debited but the ticket has n t been booked In this position if COVID-19 The money is important to us The amount isnt less too I want my refund back,INCONVENIENCE,INCONVENIENCE,Inconvenience,1,INCONVENIENCE
 CMOfficeUP COVID-19 -BHIM-UPI Paytm PhonePe GooglePay ,NULL,NULL,,1,NULL
 A friend of mine have sent this thought to share with you guys Sri Rajamatha Foundation is conducting Food drive for Homeless Orphans Old Age Home Food for one costs AAA20 You can Gpay Phonepe Paytm to Manoj Donate any possible amount COVID19 HomeQuarantine,DONATION,DONATION,Help Covid-19,1,DONATION
 AHelp people covid19-Phone pe Google pe Amazon pe paytm ICICI Bank lucknow Account number-167101506322 Ifsc- ICIC0001671 swatantrabjp bjpswatisingh sunilbansalbjp rakeshbjpup BJP4UP drdineshbjp,DONATION,DONATION,Help Covid-19,1,DONATION
 Your app is not working properly even balance checking window also not opening this critical times why you disappointed to customers once you think please correct avoid covid19,COMPLAINT,COMPLAINT,Inconvenience,1,COMPLAINT
 We should come forward to contribute some amount for our nation You can be transfer as much amount as you like by using to Google pay phone pe or paytm COVID19 FightAgainstCOVID19 donateamount,DONATION,DONATION,Request,1,DONATION
 narendramodi Sir covid-19 purpose please start one official bank account for raising fund from public paytm phone pe amzon pay etc   from all types of account i am waiting for this sir,REQUEST,REQUEST,Request,1,REQUEST
 I request paytm and other upi based app to provide direct payment gateway to different PM CM relief Fund so we can make donation to fight covid-19 Paytm PhonePe_,REQUEST,REQUEST,Request,1,REQUEST
  COVID19PhonePe_ Lockdown21  noidapolice,NULL,NULL,,1,NULL
 Paytm GooglePay PhonePe_ NPCI_BHIM please contact CMofKarnataka office and add Chief minister Relief fund Covid-19 donation option to your app we can easily donate through your app in advance  ,REQUEST,REQUEST,Request,1,REQUEST
 I have decided to give some unboiled rice Dal potatoes to the needful people as a self initiative in this crisis moment of Covid19 If anyone wants to contribute something then please send me in this number Paytm Phonepe Google pay Regards Arindam Roy,DONATION,DONATION,Help Covid-19,1,DONATION
 It time to stand with Ur country  to fight with covid19   Plz contribute generously this is also a way to show deshbakhti You simply donate through paytm BHIMUPI PhonePe COVID2019,DONATION,DONATION,Request,1,DONATION
 Dear KTR sir Can you please make available COVID relief fund or CM relief fund payments available on digital platforms like Paytm Gpay and Phonepe so that we can contribute our small donations too   KTRTRS TelanganaCMO COVID19ReliefFund TelanganaFightsCorona,REQUEST,REQUEST,Request,1,REQUEST
 As a social safety measure considering the emergent COVID-19 scenario our bill payment counters will remain closed during the lockdown period Kindly pay your electricity bill through online modes using our portal UPAY app Paytm MPOnline PhonePe Google Pay Amazon Pay etc,INFORMATION,INFORMATION,Help Covid-19,0,HELP-COVID19
 Online transactions through UPI apps Google pay or phone pe and ATM withdrawals are being charged Such chargings are hurting at the time of lockdown COVID19 when government is encouraging for online payments or transactions,COMPLAINT,COMPLAINT,Complaint,1,COMPLAINT
 mygovindia MoHFW_GUJARAT MoHFW_INDIA Launch Covid-19 relief fund provide donation page on upi and payment app like GooglePay Paytm PhonePe_ NPCI_BHIM Would like to donate to government directly,DONATION,DONATION,Donation,1,DONATION
 I request everyone not to donate anything on Paytm app for covid-19 relief As they are involved in fraud and money laundering your valuable money will be stolen and thus goes in vain Instead go contribute on PhonePe_ GooglePayIndia MobiKwik,FRAUD,FRAUD,Complaint,0,COMPLAINT
Help people covid19 - Phone pe Google pe Amazon pe,HELP-COVID19,HELP-COVID19,Help Covid-19,1,HELP-COVID19
 Covid-19 Quarantine Diary Me Maa China me ek aur viruses aa gaya HANTA VIRUS Maa Haa tu aur ghusse rehna phone pe StayHomeStaySafe,INFORMATION,INFORMATION,,0,INFORMATION
 Please prefer to use E-payment methods like E-wallets UPI Debit Credit Cards online transfers etc Apps like Paytm PhonePe_ instead of CASH for purchasing anything it may reduce chances of getting in touch with COVID-19 AvoidCASH coronavirusindia GoCoronaGo,REQUEST,REQUEST,Request,1,REQUEST
Help people covid19- Phone pe Google pe Amazon pe,HELP-COVID19,HELP-COVID19,Help Covid-19,1,HELP-COVID19
 KTRTRS Sir please provide online payments GPay Paytm Phonepe ETC details to donate Everyone wants to contribute to fight against COVID-19,REQUEST,REQUEST,Request,1,REQUEST
 Paytm PhonePe_ GooglePay Could you please add online money transfer option for covid19 relief fund Initiated by our CM of karanataka yediyurappa,REQUEST,REQUEST,Request,1,REQUEST
  covid-19 ke  phone pe Google pe Paytm ,NULL,NULL,,1,NULL
 rjraunac want to convey my message to Indian government to start or interact with any payment settlement apps phone pe  paytm g pay regarding contribution from citizens of India Even a minimal contribution will help govt reduce after effects of COVID-19 outbreak and lockdown,REQUEST,REQUEST,,0,REQUEST
 DIPR_COVID19 Karnataka_DIPR Could the CM COVID19 Fund donations available on Paytm Phonepe and wallets such that it becomes easy to donate rather than cheque bank procedures,REQUEST,REQUEST,Donation,1,REQUEST
AHelp people covid19A- Phone pe Google pe Amazon pe,HELP-COVID19,HELP-COVID19,Help Covid-19,1,HELP-COVID19
Help people covid19 - Phone pe Google pe Amazon pe,HELP-COVID19,HELP-COVID19,Help Covid-19,1,HELP-COVID19
 PhonePe_ plz shortest way to Donate PM and CM relief fund for covid19,DONATION,DONATION,Request,1,DONATION
 PhonePe_ Paytm GooglePay Just a Suggestion A fund collection channel for can be created like other disasters and the funds collected can be utilised to help the one who do n t have enough money to buy food during the lockdown LetsFightCorona,DONATION,DONATION,Request,1,DONATION
Help people covid19 -Phone pe  Google pe  Amazon pe  7985346338 BJP4India Real_Anuj realshooterdadi ArvindKejriwal GorakhnathMndr SwatiJaiHind swamidipankar,HELP-COVID19,HELP-COVID19,Help Covid-19,1,HELP-COVID19
 Government Should open a COVID-19 help account and should link it to NPCI_BHIM PhonePe_ GooglePay all the MLAAAAs including jairamthakurbjp should donate their salaries into it,REQUEST,REQUEST,Request,1,REQUEST
 In view of the COVID-19 I urge you to remain safe and use PhonePe_ App for bill payment recharge etc Click to download and enjoy smooth service StayAtHomeSaveLives,REQUEST,REQUEST,Request,1,REQUEST
 The cutest thing was a msg from PhonePe_ saying they now have less support staff because of COVID-19 Imagine theyAAAre claiming that their customer service levels can get even worse Unless they step out and stab their customers it canAAAt get worse,COMPLAINT,COMPLAINT,,0,COMPLAINT
 Hello Jaipur We are distributing food packets for poor people in Jaipur today we distributed more than fresh food packets via Hariom Janseva Samiti If you live in Jaipur and want to help us thn please contribute here PayTM PhonePe RT Covid19 AAAA,DONATION,DONATION,Help Covid-19,1,DONATION
 Dosti Yaari Phone Pe Nibhaye Kisi Se Bhi Milne Lockdown Khatm Hone Ke Baad Jaaye Email us at amrenfoundation gmail com Website Link in Bio corona covid_19 virus LFF LucknowFilmForum Lucknow Awareness wefightback lockdown2020 Stayhome Staysafe quarantine,NOT RELATED,NOT RELATED,,0,NOT RELATED
 narendramodi ArvindKejriwal PMOIndia myogiadityanath AmitShah Cashless India kar dena chaiye be online only for a few days like Paytm PhonePay and g pay due to covid19 Paytm PhonePe_ cashlessindia fightagainstcorona,REQUEST,REQUEST,Request,1,REQUEST
 Aaj maine phone pe Chache ke mama ke bhai ki behan ke devar ki crush ke padosi se baat ki wo mera chachera khalera mamera tayera phupera bhai nikla AAAAAAA AAAA Quarantined COVID19 caronaeffect StaySafe StayHealthy stayhome,NOT RELATED,NOT RELATED,,0,NOT RELATED
 Please avoid Cash and card Transactions to protect Covid Use maximum transactions thru mobile app like Paytm phonepe googlepay etc   etc,REQUEST,REQUEST,Request,1,REQUEST
 Paytm PhonePe_ GooglePay Please Open Bihar Helping Portals So We Could Contribute And Help Bihar Government For Buying Masks And Sanitizer For Free Distribution In Rural Areas Of Bihar And Make Aware Of Them About Covid-19 NitishKumar mangalpandeybjp,REQUEST,REQUEST,Request,1,REQUEST
 COVID-19 PhonePe announces mandatory work from home for all employees till March AAA,INFORMATION,INFORMATION,Help Covid-19,0,HELP-COVID19
 Covid ko ley kar ek donation relief fund app lunch karna chahiye Jis say paise ki Kami naa Online app k through for example Paytm phone pe Google pay upi,REQUEST,REQUEST,Request,1,REQUEST
 KTRTRS Sir please make agreements for UPI payments transfer with paytm phone pe google pay for CM relief Fund for our telangana state We will get huge donations which can help us for poor people in this juncture Covid-19 AAA,REQUEST,REQUEST,Request,1,REQUEST
 GooglePayIndia Paytm PhonePe_ MobiKwik It your time just create an option for Contribution on Corona Covid19 with special attraction of Rewards in form of ScratchCards Let FightCoronaTogether StayHomeStaySafe Donations coronavirus CoronaStopKaroNa,REQUEST,REQUEST,Request,1,REQUEST
 COVID19 GooglePay Paytm NPCI_BHIM PhonePe_  QR Code  DIPRRajasthan INCRajasthan,NULL,NULL,,1,NULL
 fayedsouza nelsonvijay08 Zakka_Jacob ek bandha phone pe Miracle healer Paul Dinakaran ko bol raha hai woh kyun na italy jaaye aur ek touch mein sab Covid-19 rogiyon ko cure karein profpaVarghese CedricPrakash AAA,NOT RELATED,NOT RELATED,,0,NOT RELATED
 Stay Safe StayAtHome Pay Digitally DigitalPayment Without Touching Notes Coins where Chance of COVID-19 Coronavirus narendramodi PMOIndia Paytm PhonePe_ NPCI_BHIM amazonpay GooglePayIndia Mastercard etc,CONVENIENCE,CONVENIENCE,Request,0,REQUEST
 Paytm PhonePe_ GooglePay Please Open Bihar Helping Portals So We Could Contribute And Help Bihar Government For Buying Masks And Sanitizer For Free Distribution In Rural Areas Of Bihar And Make Aware Of Them About Covid-19,REQUEST,REQUEST,Request,1,REQUEST
 COVID19  PhonePe_  PhonePeSupport Atruecaller  Uppolice BiharpoliceHq gorakhpurpolice,NULL,NULL,,1,NULL
 COVID19 PhonePe_ PhonePeSupport noidapolice ADCPNoida Uppolice,NULL,NULL,,1,NULL
 Adani Electricity facilitates digital payment modes over Coronavirus adani digitalpayments mumbai googlepay phonepe BHIM mobilepayment covid19india covid19 coronavirus coronavirusupdate coronaalert adanielectricity AAA,INFORMATION,INFORMATION,Help Covid-19,0,HELP-COVID19
 Where can we donate for the ongoing war against Covid please provide links on apps like paytm google pay and phone pe like we did during kerela floods  Covid_19india Narendermodi drharshvardhan PMOIndia MoHFW_INDIA Please do this ASAP,REQUEST,REQUEST,Donation,1,REQUEST
 ArvindKejriwal sir i would like to give one suggestion with your kind permission i am thinking that google pay phone pe should create a saperate account for collecting a fund which can help us to fight against COVID it is not a big task and not everyone is unable to earn,REQUEST,REQUEST,Request,1,REQUEST
 My dear all beloved Indians I have a word and this might help us to control the spread of coronavirus covid-19 in INDIAAAAAAAAAAAAAAA Please raise the funds or provide food for daily wages and make them stay at home PMOIndia ndtv htTweets timesofindia Paytm PhonePe_,REQUEST,REQUEST,Request,1,REQUEST
 Phupho quarantine phone pe ghebat AAAA Covid_19,NULL,NULL,,1,NULL
 caronavirusoutbreak Covid_19 CoronavirusPandemic StayAtHome COVIDAAA19 I request all the UPI apps to collect funds from users for Covid-19 so that it can be used by government for emergency narendramodi PMOIndia Paytm PhonePe_ GooglePayIndia MobiKwik airtelindia,REQUEST,REQUEST,Request,1,REQUEST
 JandKBank PhonePe_ also caring for their customers users is a great thing to witness We all need to cooperate with the authorities n let not com out unnecessarily and let give a tough fight to this COVID19 with the help of Allah,HELP-COVID19,HELP-COVID19,Appreciation,0,APPRECIATION
 Appeal Message Stop Spreading Covid19 NPCI_BHIM NPCI_NPCI UPI_NPCI Paytm PhonePe_ bharatpeindia IndiaPaySafe UPIChalega IndiaStaySafe,REQUEST,REQUEST,Request,1,REQUEST
 Respected sir HardeepSPuri I can understand the panic and engagement of officers during this covid-19 outbreak But air companies ca n t make trouble for their customers like this Atleast complaint should be heard and assurance must be provided PhonePeSupport,INCONVENIENCE,INCONVENIENCE,,0,INCONVENIENCE
 Choose the safest way to make payments Switch to Digital Payments and join the fight against COVID19 Pay safe stay safe IndiaFightsCorona UPIChalega IndiaStaySafe PaySafeIndia Team_jharkhand PhonePe_ PhonePeSupport NPCI_NPCI Kamal74991982 Prasant07297505,CONVENIENCE,CONVENIENCE,,0,CONVENIENCE
 STOP PAYING CASH AS CURRENCY NOTES MAY BE INFECTED USE DIGITAL PAYMENTS UPIChalega Paytm NPCI_BHIM PayUindia PhonePe_ MobiKwik GooglePayIndia amazonpay Covid_19 CoronaStopKaroNa,CONVENIENCE,REQUEST,Request,1,REQUEST
 Dear public use digital banking services such as Mobile_Banking Net_banking UPI_NPCI NPCI_BHIM PhonePe_ PaytmBank GoogleIndia amazonpay FreeCharge epassbook to avoid large gatherings besides other preventive measures as announced by GOI for COVID19 Be safe,REQUEST,REQUEST,Request,1,REQUEST
 Dear PM please Give instructions to My company phonepe private limited to give atleast holidays till of the march as the Covid-19 is very serious issue We fse are unable to to protect ourselves from coming in contact with the people COVID2019india PhonePe AAA,REQUEST,REQUEST,Request,1,REQUEST
 Vo to theek hai par paytm phone pe use karne ke liye A c mein balance chahiye aur us ke liye A c mein kuch cash deposit karna padega air uske liye bank jaana padega wahan ya to cash deposit machine use karni pdegi ya counter Dono cases mein covid-19 ka dar Ab kya karein,INCONVENIENCE,INCONVENIENCE,,0,INCONVENIENCE
 Pls do digital payments to avoid Covid-19 Be safe and healthy IndiaPaySafe UPIChalega PaySafeIndia PhonePeSupport PMOIndia AmitShah NPCI_NPCI PhonePe_,REQUEST,REQUEST,Request,1,REQUEST
 Activate UPI Paytm PhonePe GooglePay all kinda online payment portals to stop spread COVID19india DigitalIndia IndiaFightsCorona Go cashless China cashless economy helped StopTheSpread COVID19 narendramodi MoHFW_INDIA PMOIndia,REQUEST,REQUEST,Request,1,REQUEST
 Large brands which have invested heavily on the IPL so far include CocaCola Vivo Amazon and PhonePe the franchises alone were on track to notch up AAA500 crore from sponsors collectively ipl2020 covid19 coronavirus,INFORMATION,INFORMATION,Statistics,1,INFORMATION
 Avoid paying in cash pay digitally Stay Safe Ab UPI chalega UPI GooglePay PhonePe PayTM CoronaVirus COVID19 UPI_NPCI upichalega,REQUEST,REQUEST,Request,1,REQUEST
 WHO gkd600 PMOIndia RameshPV2010 DrTedros adgpi isro TheOfficialSBI PhonePe_ GooglePayIndia RBI sir PLEASE RETWEET COVID19 coronavirusindia,REQUEST,REQUEST,,0,REQUEST
 gkd600 RameshPV2010 WHO DrTedros un PhonePe_ GooglePay CoronaVirusUpdates Simple steps can help U those around U stay protected from COVID19 HelpUsToHelpYou Maintain a distance of meter feet from the person who shows signs of flu like cough or sneezing,HELP-COVID19,HELP-COVID19,Help Covid-19,1,HELP-COVID19
 PhonePeAAAs international travelinsurance sales hurt due to COVID19 AAA Priyanka Pani aaravmeanspeace Interviews Gunjan Ghai Insurance Head PhonePe_ travel pandemic insuretech fintech payments,INFORMATION,INFORMATION,,0,INFORMATION
 of the edtech cos i support both predominantly physical student interaction-led built their online classes overnight thanks to COVID-19 its impact on physical classes One WebRTC open source the other on a platform Clearly O2O Offline Online edtech PhonePe moment AAA,APPRECIATION,APPRECIATION,,0,APPRECIATION
 India is doing it because we are educated And u guys are illiterate bhikharis who barks about kashmir during covid19 meet Phone pe chalao ya chillao Tum jaahil hi rahoge Tum logo ko sone ka katora b de do tum usme bheekh hi mangoge Pehle apni jahiliyat mitao,NOT RELATED,NOT RELATED,,1,NOT RELATED
 The way demonetization helped wallet apps Paytm PhonePe_ covid19 helps the online video apps TikTok_IN hotstartweets NetflixIndia PrimeVideoIN to scale up AAAA AAA,APPRECIATION,APPRECIATION,,0,APPRECIATION
 With so much money riding on the IPL what happens if the league is postponed played behind closed doors or cancelled Read here IPL Vivo_India Maruti_Corp PhonePe_ amazonIN sports marketing branding COVID19,QUESTION,QUESTION,,0,QUESTION
 desi uncles whatsapp jokes be like maine biwi ka phone pe contact name AAAcovid19AAA rakhliya kyun ke woh sab ka jeena mushkil kardeti hain share karo with friends funny masti biwi coronavirus,NOT RELATED,NOT RELATED,,1,NOT RELATED
 There more than one way to stay safe FreeCharge Paytm GooglePay MobiKwik NPCI_BHIM PhonePe_ Amazon JioCashless JioDigitalLife CoronaVirus COVID19,CONVENIENCE,HELP-COVID19,Help Covid-19,1,HELP-COVID19
 Curios to know how we are keeping tap on the covid19 precautions at the time of conference,NULL,NULL,,1,NULL
 With COVID19 affecting the global supply chain of goods and the Yes Bank debacle affecting the financial supply chain of PhonePe companies will start hedging their critical supply chain by investing in a parallel safer supply chain,INFORMATION,INFORMATION,Yes bank collapse,1,INFORMATION
 YesBankCollapse YesBank NoBank PhonePe DeMonetisation PMCBank economiccrisis WomensDay NirmalaSitharaman CoronaVirusChallenge coronavirusindia CoronavirusOutbreak CoronavirusInSA COVID19india COVIDAAA19 COVID19 Covid19usa,NULL,NULL,Yes bank collapse,0,YES BANK CRISIS
 Paytm do n t indulge in any kind of handshake key exchange it Covid-19 going PhonePe_ please I will loose respect for you guys if you ever get on patym p,REQUEST,REQUEST,Request,1,REQUEST
 AAA Yes bank crisis YesBankCollapse yesbankcrisis NoBank RBI PhonePe India USA forextrader COVID19 COVID BreakingNews Event football HoliWithSidNaaz Iran investing KatyPerry MAGA PMCBank SSMB27 TeamIndia VirusCorona WomensDay,INFORMATION,INFORMATION,Yes bank collapse,1,INFORMATION
 Get House Painting Services at best price in LB Nagar Deccanclap Book Now fridaythoughts covid-19 house feynac fridayfeeling housepainters homepaintingservices spotifyawards phonepe photooftheday deccanclap id 15941774868650791333 use posts lpsid 1584982625553745043AA AAA,CONVENIENCE,CONVENIENCE,Marketing,0,PUBLICITY
 House Painting Services at best price in LB Nagar Book Now fridaythoughts covid-19 house feynac fridayfeeling housepainters homepaintingservices spotifyawards phonepe photooftheday deccanclap AAA,CONVENIENCE,CONVENIENCE,Marketing,0,PUBLICITY
 COVID19 COVIDAAA19 save KickIt  GalaxyS20 AJIMIN Jaebeom lauvxbts AA19 PhonePe Russia Wuhan SpotifyAwards ,NULL,NULL,,1,NULL
 My New TikTok Video  coronavirusturkey yesbankcrisis CoronaVirusChallenge bacotsantuy GalaxyS20 GreysAnatomy CoronavirusInSA CoronavirusInSA ateskes COVIDAAA19 NoBank KhalilUrRahmanQamar COVID19 merajismmerimerzi PhonePe NeoZone_530KPreOrders photo,NULL,NULL,,1,NULL
 COVID-19  nobank DeMonetisation phonepe,NULL,NULL,,1,NULL
 VIRUS Latest Updates  March GMT Total number of COVID-19 cases worldwide tops new cases and new deaths in Iran new cases in Germany source new cases in Malaysia source new cases in Iceland source,NOT RELATED,NOT RELATED,Statistics,0,NOT RELATED
 I do n t know what exactly covid19 does when infected But at least because of coronavirus hope will keep their surroundings clean of using cash It better to use e-payment coz we do n t know how many people have used the same currency note Paytm PhonePe_,CONVENIENCE,CONVENIENCE,,0,CONVENIENCE
 Kindly request to every indian donate atlist a single rupees for fight against corona virus covid-19 Kamal74991982 pppankaj_kumar Avinash00423037 PhonePe_ i4india PMCaresFunds AAA,DONATION,DONATION,Request,1,DONATION
 Phone pe also brings corona virus insurance,INFORMATION,INFORMATION,Help Covid-19,0,HELP-COVID19
 UrsTrulyPM Free11_09 Most health insurance policies cover hospitalization costs including Coronavirus related hospitalizations Therefore you might not need a Coronavirus specific insurance However do check with your existing insurer ,REQUEST,INFORMATION,Help Covid-19,0,HELP-COVID19
 We are helping poor people from this corona virus If ur interest u can help us Phone pe r gpay PawanKalyan DrSandeepJSP MenteSowjanya JSPShatagniTeam BolisettiJ bhemamani keathamreddy JSPManuKranth saivinay07 JSPEastGodavari bhemamani PSPK9978 sekhar,DONATION,DONATION,Help Covid-19,1,DONATION
 COVID19india phonepe_Coronavirus_insurance Zerocommision only156Rs PhonePe,NULL,NULL,,1,NULL
 Rest of the team pls share   covid19india Phonepe_coronavirus_insurance only156Rs PhonePe,REQUEST,REQUEST,Request,1,REQUEST
 phonepe_coronavirus_insurance Covid_19india zero_commision,HELP-COVID19,HELP-COVID19,,0,HELP-COVID19
 covid19india Phonepe_coronavirus_insurance zeroCommission only156Rs Phonepe,HELP-COVID19,HELP-COVID19,,0,HELP-COVID19
 phonePe_coronavirus_insurance Covid19India zero_commision,HELP-COVID19,HELP-COVID19,,0,HELP-COVID19
 covid19india Phonepe_coronavirus_insurance zero commission only156Rs Phonepe,HELP-COVID19,HELP-COVID19,,0,HELP-COVID19
 covid19india Phonepe_coronavirus_insurance zerocommission only156Rs Phonepe,HELP-COVID19,HELP-COVID19,,0,HELP-COVID19
 PMCARES Citizens who want to donate funds and help the government in fighting against the coronavirus in India can visit the official website and make a contribution Payments can be made through debit and credit cards internet banking UPI BHIM PhonePe,DONATION,DONATION,Donation,1,DONATION
 PMCARES Citizens who want to donate and help the government in fighting against the coronavirus in India visit the official website for contribution via debit and credit cards I banking UPI BHIM PhonePe Amazon Pay Google Pay Paytm etc,DONATION,DONATION,Donation,1,DONATION
 PhonePe_ stop this shit Stop spamming PhonePeSupport Stop telling people to increase the reduced pollution Idiots Use your brain GodiMedia CoronaVillains coronavirus CoronavirusOutbreakindia,INCONVENIENCE,INCONVENIENCE,Complaint,1,INCONVENIENCE
 Thanks PhonePe_ for this Great initiative to fight with CoronaVirus I strongly recommend my friends and family to support this initiative i4India Movement and be there for your country AA Donate to the PMCARESFund and let make the India strong,DONATION,DONATION,Appreciation,0,DONATION
 The policy covers hospitalization expenses up to AAA50000 Kindly visit the app for more details Select Coronavirus within the Insurance section under My Money AAARJ,INFORMATION,INFORMATION,Help Covid-19,0,HELP-COVID19
 Hi Abhilash please know that the coronavirus insurance is a new insurance product launched exclusively on PhonePe You get covered in the unfortunate event if you test positive and need to be hospitalized in a private hospital,INFORMATION,INFORMATION,Help Covid-19,0,HELP-COVID19
 Hi Rohit We glad you like the Coronavirus insurance feature Stay home stay safe AAARG,QUERY ANSWER,QUERY ANSWER,Appreciation,0,QUERY ANSWER
 coronavirus Dear PMOIndia narendramodi pls ask NPCI_NPCI make NPCI_BHIM BHIM app withdraw money by needy1s daily wagers etc from nearby shops like ATM similar to Phonepe so that individuals or Employers could transfer Salary or other them without physical contact,REQUEST,REQUEST,Request,1,REQUEST
 PhonePeSupport PhonePe_ DCP_CCC_Delhi DCPEastDelhi Today I got a message from PhonePe suddenly then a fraudster called me from mentioned number and saying you have a cashback of Rs from government due to Corona Virus relief package,FRAUD,FRAUD,Fraud Alert,1,FRAUD
 I have joined the i4India movement by donating to PM Cares fund Let create a chain to break the chain of coronavirus No amount is small Every rupee counts If you donate on PhonePe they will add Rs more even if you donate just Re1Click to donate,DONATION,DONATION,Donation,1,DONATION
 Presently we all are fighting with Corona virus and i need money for my household needs Request Phone pe and Google team Please help to refund money,DONATION,DONATION,,0,DONATION
 PUBG MOBILE LIVE  Lock down day virus pubg mobile l ive SUBSCRIBE OUR CHANNEL FOR MORE VIDEOS       SUPPORT US ON PAYTM    PayTM PhonePe UPI ID ybl SUPPORT US ON STREAMLAB promo sachingamingAA AAA,DONATION,DONATION,,0,DONATION
 PhonePe Launches Coronavirus Insurance Policy Offers Rs Medical Cover At Rs Check Details CoronavirusPandemic CoronavirusOutbreakindia staysafe Read More- AAA,INFORMATION,INFORMATION,Help Covid-19,0,HELP-COVID19
 PMCARES Citizens who want to donate help the govt in fight the coronavirus in India visit the website for contribution Payments can b made through debit creditcards internet banking UPI BHIM PhonePe AmazonPay Google Pay Paytm Mobiwik RTGS NEFT,DONATION,DONATION,Donation,1,DONATION
 Thank you follow Indians i4India movement has crossed an amazing milestone One Million donors in days on PhonePe_ Humanity is spreading much faster than CoronaVirus in our country So StayAtHome donate to PMCaresFund EveryRupeeCounts,APPRECIATION,APPRECIATION,Appreciation,1,APPRECIATION
 M S Rayudu Yadav Chairman of A P J Abdulkalam foundation please help the coronavirus patients the poor people s State Bank of India A c number IFSC code SBIN0010109 Phonepe Google Pay-,HELP-COVID19,HELP-COVID19,Request,1,HELP-COVID19
 PMCARES Citizens who want to donate funds and help the government in fighting against the coronavirus in India and make a contribution Payments can be made through debit and credit cards internet banking UPI BHIM PhonePe Amazon Pay Google Pay Paytm Mobiwik etc,DONATION,DONATION,Donation,1,DONATION
 Thank you fellow Indians  i4India movement has crossed an amazing milestone One Million donors in days on PhonePe_ Humanity is spreading much faster than CoronaVirus in our country So StayAtHome donate to PMCaresFund EveryRupeeCounts narendramodi,APPRECIATION,APPRECIATION,Appreciation,1,APPRECIATION
 Now Time to do something for india to fight against corona virus so pls pay rupee and Phone Pe give rupees So never miss your chance only I india I4INDIA PMCARESFund AnkushS34600818 Abhishe71620765 Sumitsh44417859 Phonepe Deepakk333412906,DONATION,DONATION,Request,1,DONATION
 AsimRiaz ShehnaazGiIl SidNaaz SmackDown coronavirus Hello India Real heroes be a Part of i4India mvmnt by donating in PMCARESFund if you donate on PhonePe they will add Rs10 more in what u donate even if its just Re1 PMO Click here to donate,DONATION,DONATION,Donation,1,DONATION
 Is PhonePe_ coronavirus insurance of Rs covering hospitalization cost of Rs worth taking or is it just another marketing gimmick Please suggest,QUESTION,QUESTION,question,1,QUESTION
 I have joined the i4India movement by donating to PM Cares fund Let create a chain to break the chain of coronavirus Every rupee counts If you donate on PhonePe they will add Rs more even if you donate just Re Click to donate,DONATION,DONATION,Donation,1,DONATION
 PMCARES Citizens who want to donate funds and help govt in fighting against coronavirus in India can visit official website and make a contribution Payments can be made through debit and credit cards internet banking UPI BHIM PhonePe Paytm etc,DONATION,DONATION,Donation,1,DONATION
 i4india PhonePe I have joined the i4India movement by donating to PM Cares fund And am urging my friends to do their bit for the country and post your donor badge with your and nominate more friends to do the same Let create a chain to break the chain of coronavirus,DONATION,DONATION,Donation,1,DONATION
 Phonepe I have joined the i4India movement by donating to PM Cares fund And am urging my friends to do their bit for the country and post your donor badge with your and nominate more friends to do the same Let create a chain to break the chain of coronavirus,DONATION,DONATION,Donation,1,DONATION
 In newspapers phone pe app it is shown that Corona virus insurance policy Best job phonepe ,APPRECIATION,APPRECIATION,,0,APPRECIATION
 Hi Due to the current lockdown because of the Coronavirus situation our call support is currently unavailable Please have a look at your DM for our response to your query ,REQUEST,REQUEST,Query Reply,0,QUERY ANSWER
 Thank you fellow Indians  i4India movement has crossed an amazing milestone One Million donors in days on PhonePe_ Humanity is spreading much faster than CoronaVirus in our country So StayAtHome donate to PMCaresFund EveryRupeeCounts,APPRECIATION,APPRECIATION,Appreciation,1,APPRECIATION
